FileName;OriginalSize;NoZeroPaddingFileSize;ZipFileSize;RarFileSize
OriginalTemplates\DS_D_A_2023_07_07_06_41_56_.tmp;1536;216;294;274
OriginalTemplates\DS_D_C_2023_07_07_06_42_03_.tmp;1536;288;368;353
OriginalTemplates\DS_D_I_2023_07_07_06_42_07_.tmp;1536;288;368;353
OriginalTemplates\DS_D_M_2023_07_07_06_41_47_.tmp;1536;316;398;385
OriginalTemplates\DS_D_P_2023_07_07_06_42_20_.tmp;1536;328;412;396
OriginalTemplates\DS_I_A_2023_07_07_06_42_40_.tmp;1536;256;337;314
OriginalTemplates\DS_I_C_2023_07_07_06_42_45_.tmp;1536;280;365;346
OriginalTemplates\DS_I_I_2023_07_07_06_42_48_.tmp;1536;256;344;319
OriginalTemplates\DS_I_M_2023_07_07_06_42_36_.tmp;1536;272;357;336
OriginalTemplates\DS_I_P_2023_07_07_06_42_52_.tmp;1536;276;356;339
OriginalTemplates\JH_D_A_2023_07_07_06_47_05_.tmp;1536;220;304;272
OriginalTemplates\JH_D_C_2023_07_07_06_47_07_.tmp;1536;236;322;298
OriginalTemplates\JH_D_I_2023_07_07_06_47_10_.tmp;1536;280;372;350
OriginalTemplates\JH_D_M_2023_07_07_06_47_01_.tmp;1536;308;395;386
OriginalTemplates\JH_D_P_2023_07_07_06_47_16_.tmp;1536;212;297;270
OriginalTemplates\JH_I_A_2023_07_07_06_47_27_.tmp;1536;256;338;313
OriginalTemplates\JH_I_C_2023_07_07_06_47_30_.tmp;1536;268;354;339
OriginalTemplates\JH_I_I_2023_07_07_06_47_32_.tmp;1536;268;353;336
OriginalTemplates\JH_I_M_2023_07_07_06_47_24_.tmp;1536;228;312;285
OriginalTemplates\JH_I_P_2023_07_07_06_47_38_.tmp;1536;216;297;266
OriginalTemplates\WR_D_A_2023_07_07_06_45_41_.tmp;1536;168;250;211
OriginalTemplates\WR_D_C_2023_07_07_06_45_45_.tmp;1536;168;250;211
OriginalTemplates\WR_D_I_2023_07_07_06_46_02_.tmp;1536;168;250;211
OriginalTemplates\WR_D_M_2023_07_07_06_45_35_.tmp;1536;168;250;211
OriginalTemplates\WR_D_P_2023_07_07_06_46_11_.tmp;1536;168;250;211
OriginalTemplates\WR_I_A_2023_07_07_06_46_25_.tmp;1536;328;413;394
OriginalTemplates\WR_I_C_2023_07_07_06_46_28_.tmp;1536;208;287;265
OriginalTemplates\WR_I_I_2023_07_07_06_46_31_.tmp;1536;204;287;262
OriginalTemplates\WR_I_M_2023_07_07_06_46_21_.tmp;1536;220;305;280
OriginalTemplates\WR_I_P_2023_07_07_06_46_40_.tmp;1536;248;327;308
